Period,Avg_Actual_Hrs_Worked
1Q 2017,44.4
2Q 2017,45
3Q 2017,44.9
4Q 2017,44.8
1Q 2018,43.8
2Q 2018,43.8
3Q 2018,44.8
4Q 2018,44.5
1Q 2019,43.7
2Q 2019,44.6
3Q 2019,45.3
4Q 2019,45.1
1Q 2020,44.4
2Q 2020,38.4
3Q 2020,43.2
4Q 2020,44.5
1Q 2021,44
2Q 2021,44.2
3Q 2021,44.8
4Q 2021,44.7
1Q 2022,43.9
2Q 2022,44.1
3Q 2022,44.6
4Q 2022,44.7
1Q 2023,44.2
2Q 2023,44
3Q 2023,43.5
4Q 2023,43.3
1Q 2024,43.1
2Q 2024,43.2
3Q 2024,43.4
4Q 2024,43.4
1Q 2025,43
2Q 2025,43.6
3Q 2025,43.8
